UNK 101011
the 10010100101
of 100101001000
and 1010101
to 10000100010
a 101100111
in 1001010000
that 100001110111
is 1001011000
was 011111
he 0111000101101
for 10010101000
it 1000011100
with 1011001100111101
as 10010011110011
his 011100010100000101000
on 0100100010100
be 10000110011010
i 000100110100101011001000110
at 101110100101100101
by 10010100100111010001100
this 100010
had 01110010111100010101
not 1000011110001010
are 10010111101011
but 10000111101
from 1001101010010111100
or 10010100100111111111010
have 100000011011
they 1000010100001011
an 10010010000011001111
you 00010011010111101000101111101
which 1001011001010001001111
one 10111101111100001
were 10011011110001011
her 01110010110000011011110111000010000111111011011101110101100
all 10000101111111
she 01110010110000011011110111000010000111111011011101110101101
we 10000110111011000110111110011
there 0111101011
would 1000011000000
s 100101000111010111110011101111010010010001100010011010
their 1000010100001001
him 011100010011010011100011001100100100
been 1000000100111
has 1000000100110
when 01110010101100010
who 1011001010110010001100010
will 10000110010101101101110000000011001001010010011
more 100000110110001000010100111
no 0111101010
t 10010110011001111011100001000010100010110010110111010000011111100101101111000111011000001101001101100000
if 1000011000001
out 010111001001100110011
so 000100001101011001011001101000
said 0001001100111001000000100110100111
what 00010011111110010111
can 1000011011010010110101000
up 01011101011001101001100101010010100001100111001101
its 100100001110111111011101010001100
about 011100100111110110110011110101
into 0101110101011101101110100000000010000011010011011001001
than 1000001101100010000101001100
them 1000010100110001010010100101001101111
only 1000011111011110011000
other 10010100100101101110000110
time 101110111111110001
new 101111100010110011110010111101000100000100111101100111101111000000001000000
some 100101110100011011010111110011
could 000100010110111110000
these 1001011110111001100000011110100101100001
two 1011110011110110001010101011000001110
may 100001100111
then 0101110111100011010011100100
do 00010011111110010110
first 101111000111000000011
any 10010100100111111100110111101001001010100110101000000110110010101001000011000110110111000
man 1011001011011001010101111110111110100
my 000100110100101011001000111
now 001000100010100111011110111101001
such 100101001001111111001101111010010010101001101010000001101100101010010000110001101101110111
like 0001001001010110010011010010001100001000
over 0101100011110111000111100001010011111011100101111
our 10000110111011000110111110010
me 000100110100101011001000100
even 1001000111010100111011100101111
most 1001001100011010001000001000001110011010
made 100101001001111111000100111110100001111101001000100010001101011
also 100111001111001101101111101111110110000101100100101
after 10111111000100000011100111111101101000110011
did 100001111000100
many 10010111111011011111111100110010100100
before 0110111110101011001110110011100111101101010110000111101101101010
must 1000011001100
af 1001011001100111101110000100001010001011001011011101000001111110010110111100011101100000110100110110000111001010001101010011
through 010101111100000111000001011111110101001100100110000
back 0101110101001000010010011101001000011101000010001011001110001001
years 1011110010011001101111110101001011101011
much 00010000100011010100111101010110110
where 1101011100010000010000001100001001110100111000110011
your 00010011010111101000101111100
well 10010011110010
way 100011111101001110100000110000001111011
down 01011101011011000110111000110000101110000010001111010
should 10000110011011
because 10010000100100101101100100101110001101111010001
just 000100101111111011111100110011100001111001101
each 100101101110111000010100101010001111101010111010111001011101000001110
state 10010100100111111100110111101001001010100110101000000110110010101001000011000011101111100111
people 1000010101100110001011110110100100000000010110100111001
those 1011001010110010001100011
too 00010000100011010100111101010110111
world 100101001110000001001100010011111100010001000100110001101000011101
little 010110100011000111000000001111011000000010010100100011001
how 1000011011010010110101001
long 0001010001101111100011001011001100010
good 1000000010110100110110001110111100101011101101110001
very 10011011011010010001111001001101000101001010010001010101001111100111101100010011010010000111
make 0001011111111100100101000
men 10110010101100100011011001
still 101101111101101101101000100110010110111110
own 1000010100001000
see 000100010110111110001
work 10010101101110100011000110111110110111101101011001111011000010001
here 000110001111001110001000100111101101
get 0001001101100101011100001110110
both 100110111011110110100011001000010110000100110000011010101101110000001011010111011001011101010110000010110010
between 1011110011110110001010101011000001111
day 101111111110010001001110111001010000
life 100100010101000100110110010001101111010101101000101
being 100100011010100010000100001000
under 100101001001111111001101111010010010101001101010000001101100101010010000110001101101111111
year 1011111111100100010011101110101111010110001
never 0111001001011000011111111011110
same 101110111111110000
another 10111101111100000
know 00010011010111101000101111110101
while 101101110111010011000010110001111100101001100110111
last 10111111111001000100111011101011110101100000
us 1000011010010001011100011101111
might 0111001100101101111101000011110110101010011001
great 100100000011111111000001011100000010010001111001
old 1011001011011001010101111110111110101
off 010001101101110111011001010011101010011101101010101100100011110100
come 010100011111001101001010000111000110001101000100110001
against 01010100010101010111100010110011111010000111111110011010101011111
since 10000001001010
go 00010000000110000011111110011
came 01110010101100011
three 101111001001100110111111010100101110110
right 0101001011010000111000011110110000101110101
used 1001011010101110010111000101111101011111011100111100111000101000001001
take 100001001011001010010010000010100010
himself 0111000101100
states 10010100100111111100110111101001001010100110101000000110110010101001000011000110110111111001
few 101111001001100110111111010100101000
house 010111111100100000110010111001010111110011000111011101010110111000111111100100
use 100101001001010111000001111000101011100001001111001111001100011100110000110
without 10010001101010001000010000100100
again 011100001110010011000001011011001011001000110100100011
during 1001010001110101111100111011110100100100011000100110111101111
american 100101001110111101011010110111000000111100101001110101010110111010000101110100000
place 100001001011001010010010000010100011
around 010111010111000001000110100101100010100011010000011111011000
however 1001010111110001010111111101010111111101010101100
home 101111101000001011100010001100101011011101001110101010110001011001011001101110101100
small 1001010010011111001010101001010011100101111001111001000111100111111100011001000100001001000
found 10011000011110100101101011110101010001010011011100100000111001110
part 1001010010011111100011110001100010101100101100100010000000101010110010011010010100
d 101111111110010001001110111010110
thought 0111001100101101111101000011110110101010011000
don 101111101000001011100010001100101011011101001110100
went 0101110101001000010010011101001000011101000010001011001110001000001
say 000100111010010000000101100010100001111110011010001
once 011100001110010011000001011011001011001000110100100010
general 100101001001111110100101010001000100111000111110111001000111100111110011010001011000
high 10010101101110100011000110111110110111101101011001111000110010011111111010111111
upon 100101001001111111001101111010010010101001101010000001101100101010010000110001101101110110
school 10010101101110100011000110111110110111101101011001111000110010011111111010111110
every 101101101101111001101000110000100110100101010010000000010111
does 1000011110001011
got 01011101000100100010100101110001011011111001010101000001110110101011010010
united 10010100100111111100110111101001001010100110101000000110110010101001000011000110110111111000
left 0101001011010000111000011110110000101110100
number 1001010010011010111111100100011010111010011110010100111011101010100101100110
course 0111010100101010001101100010101100110000010110100000001101111011101111
war 100101001110000001001100010011111100010001000100110001101000011100
m 101111101000001011100010001100101011011100
until 101111110111111110100101110010100100011010010001001011101001010
always 0111001000101110101111011001110011
away 010111010010110111100110100010100111011011000011010110110
something 0111001001111101101100111101001
let 1000011010010001011100011101110
fact 1000011101000110000101111000100100110011000011
water 010000001100111010000111011000001110000110010100111110101001100110000101110
though 1001000111010100111011100101110
less 1000001101100010000101001101
public 100101001001111110100101010001000100111000111110111001000111100111110011010001011001
put 0100001011100011011101100110101111101101011111111101001111100000011101100001111
government 1001010010011111110011011110100100101010011010100000011011001010100100001100011011011111101
called 1010011101000010101001100010000110001100110101000101000110001111101101001010011010100111
think 0001001101011110100010111111011
almost 101101101101111001101000110000100110100101010010000000010110
hand 10010100100101101110000111
enough 0001010001101111100011001011001100011
took 010001101101110111011001010011101010011101101010101100100011110101
far 00010000000110000011111110010
head 10010100100110001011101111010010001111111001111011001010100011100001011010010001110110011000111101001000110110100111100101
night 10111111111001000100111011101011110101100001
president 10010100111001010110100100000001100010010110010000101101010110111111000011000100110101100010111110011101101000110101100100001
yet 100001111000111
system 1001010010011001100100110100111010010011101011011101111010101000010011
better 100000100111010011010101111010101110000110111
city 10111110001011001111001011110100010000010011110110011110111100000000100001
told 000100110100101011001000101
nothing 01110111110010101111111101000011010001000
end 101110010100001110010110101001111
why 0001001101011110100010111111001
eyes 0101111010111010001010101101110111001111111000101000011000110010
find 010111001001100110010
going 0001001101011110100010110101
asked 011000110010001101001011111000010100000010111
look 010111101011101000101010110111011100111111100010100001100011000
later 1011110010011001101111110101001011101010
knew 0111001001011000011111111011111
point 1001011001100111101110000100001010001011001011011101000001111110010110111100011101100000110100110110000111001010001101010010
next 101111111110010001001110111001010001
present 100101000100000100101001011100111001100011010101011001111001111001110
program 10010100100111111100110111101001001010100110101000000110110010101001000011000110110111101
business 1001010010011111001010101001010011100101111001111001000111100111111100011001000100001001001
group 1001010011111110101100110010001111100101001100110001110111101100101101001101101111100100100
give 100001101001000101110001110110
toward 101110010100001110010110101001110
young 10110010101100100011011000
days 101111001001100110111111010100101001
room 0101110101001000010010011101001000011101000010001011001110001000000
john 10010100111001010110100100000001100010010110010000101101010110111111000011000100110101100010111110011101101000110101100100000
side 0100100010101
form 100101101110111000010100101010001111101010111010111001011101000001111
